"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000110756",990.645486606917,1.49026598111577,0.147018214848882,10.1366077846041,3.8006900963755e-24,1.64461290027448e-21,"HPS5"
"ENSG00000119138",1717.46623459215,2.1278755378679,0.211779275958819,10.0476098439475,9.41225857250551e-24,3.95968489112766e-21,"KLF9"
"ENSG00000077684",1762.18309743193,1.18958326792682,0.118691652250107,10.0224678431482,1.21432306418283e-23,4.97051967758081e-21,"JADE1"
"ENSG00000103502",3348.30312527958,0.839753280171524,0.0839103821903359,10.0077399035878,1.40935370010288e-23,5.61701626001528e-21,"CDIPT"
"ENSG00000166482",27413.4128904298,-0.949287568922098,0.095347414985219,-9.9560913011565,2.37205922024341e-23,9.21149663861192e-21,"MFAP4"
"ENSG00000185950",2275.98209759502,2.16650967707574,0.21997182711351,9.84903251250344,6.92069371741244e-23,2.62034765875528e-20,"IRS2"
"ENSG00000165995",513.109573436338,3.00661382913942,0.305925153417677,9.82793927060492,8.53472690506991e-23,3.15264485310448e-20,"CACNB2"
"ENSG00000103196",3096.15933899728,2.62603420335246,0.267470544930132,9.81803138001018,9.4164406543607e-23,3.39552365976887e-20,"CRISPLD2"
"ENSG00000211445",12537.1799334237,3.77018286930709,0.385630163156209,9.77668042989647,1.41784625329034e-22,4.99378639676332e-20,"GPX3"
"ENSG00000157510",502.245335458258,1.82248106240125,0.188076126247707,9.69012441271223,3.32123847652331e-22,1.14318538015785e-19,"AFAP1L1"
"ENSG00000197043",14235.8891385396,0.954687000916641,0.0993535823447703,9.60898417939021,7.32682279022597e-22,2.41227676430375e-19,"ANXA6"
"ENSG00000221869",1996.6227385359,1.51593635980909,0.157725271628083,9.6112458337284,7.16764185745168e-22,2.41227676430375e-19,"CEBPD"
"ENSG00000139289",2896.74376144142,-1.07092614947875,0.112128921986785,-9.55084674411619,1.2864052664736e-21,4.14523569377505e-19,"PHLDA1"
"ENSG00000131389",738.395170724894,-1.96399622611387,0.205869628667722,-9.53999984759192,1.42832524761313e-21,4.50666372397934e-19,"SLC6A6"
"ENSG00000158246",70.9156124341666,2.34457248798795,0.246715796123635,9.50313082836833,2.03672776401807e-21,6.29515142572522e-19,"FAM46B"
"ENSG00000145777",152.344620594276,-2.71541754587152,0.288503128555667,-9.41209046662927,4.86365826041065e-21,1.47320208707839e-18,"TSLP"
"ENSG00000181061",2495.79383552303,1.26971866275926,0.135468328424586,9.37280822407212,7.06278770168713e-21,2.09737097533434e-18,"HIGD1A"
"ENSG00000157214",3042.42442776058,1.99782070002371,0.213890144513971,9.34040558326526,9.59657959589099e-21,2.79500380730325e-18,"STEAP2"
"ENSG00000108821",102624.279264829,-1.27736598509062,0.137384692034574,-9.29773154616936,1.43473949887779e-20,4.02391290935262e-18,"COL1A1"
"ENSG00000151726",1467.32301351221,1.57907014875436,0.16981139426628,9.29896462824058,1.41819929310936e-20,4.02391290935262e-18,"ACSL1"
"ENSG00000124766",1291.40790053461,-2.33654878399861,0.251630061493871,-9.28565041127063,1.60722512815243e-20,4.42571355743066e-18,"SOX4"
"ENSG00000141401",619.513260387526,2.19485418360676,0.237408094364114,9.24506887385439,2.35089257578718e-20,6.35790501076729e-18,"IMPA2"
"ENSG00000003402",3368.72335143759,1.16249955008498,0.126122439896528,9.21723010622617,3.04873787383211e-20,7.85935617497811e-18,"CFLAR"
"ENSG00000112837",2671.19815511368,-1.63666383201907,0.177535574530158,-9.21879367755134,3.00461316320209e-20,7.85935617497811e-18,"TBX18"
"ENSG00000157514",2226.72449000203,3.34428297469443,0.362847481250102,9.21677329320993,3.06174984697067e-20,7.85935617497811e-18,"TSC22D3"
"ENSG00000169715",553.702542171806,2.16215512840955,0.235815109493219,9.16885747082175,4.78058821094082e-20,1.1869181713885e-17,"MT1E"
"ENSG00000196975",4931.1015623731,1.12894750999333,0.123110301964486,9.17021152558784,4.72091763589933e-20,1.1869181713885e-17,"ANXA4"
"ENSG00000128923",1481.50742728071,1.05791485275872,0.116142320966584,9.10878002053276,8.33135134575094e-20,2.03513413115158e-17,"MINDY2"
"ENSG00000143320",1513.74032144022,-1.70763401563628,0.187609511863927,-9.10206523470316,8.86301746870767e-20,2.13064126291393e-17,"CRABP2"
"ENSG00000177283",147.951649785997,2.4651788992352,0.272263380413465,9.05439025803441,1.37332901502885e-19,3.24985436447062e-17,"FZD8"
"ENSG00000164484",814.401987519494,-1.18488989788323,0.130895716018242,-9.05216712912211,1.40158570261625e-19,3.26569468709586e-17,"TMEM200A"
"ENSG00000157613",2823.8992896954,-0.967541096752944,0.107808249887201,-8.97464802336812,2.84259180836421e-19,6.52288680873878e-17,"CREB3L1"
